age,gender,location,education_level,internet_access,income_decile,current_sector,current_skills,target_job_role,predicted_skill_gap,recommended_training
19,Female,Urban,Secondary,Yes,2,Construction,"Communication, Tool Repair",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
52,Female,Urban,Vocational,Yes,1,Services,"Typing, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
24,Male,Rural,Primary,Yes,6,Retail,"Sales, Communication, Typing, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
54,Male,Semi-Urban,Primary,Yes,4,Retail,"Sales, Communication, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
28,Female,Rural,Secondary,Yes,2,Retail,"Communication, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
38,Male,Urban,Primary,No,7,Services,"Communication, MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
27,Female,Urban,Secondary,Yes,9,Retail,"Sales, Leadership, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
21,Male,Urban,Secondary,No,7,Construction,"Construction Safety, Communication, Pipe Fitting, Tool Repair",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
52,Female,Semi-Urban,Graduate,Yes,7,Construction,"Construction Safety, Pipe Fitting, Tool Repair",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
37,Male,Urban,Graduate,No,9,Construction,"Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
33,Male,Urban,Primary,Yes,8,Administration,"Typing, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
31,Male,Semi-Urban,Graduate,Yes,6,Finance,"Excel, Accounting, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
55,Male,Urban,Primary,Yes,1,Services,"Communication, Customer Handling",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
49,Male,Semi-Urban,Secondary,Yes,10,Administration,"Communication, Typing, Excel, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
44,Female,Semi-Urban,Primary,Yes,2,Finance,"Communication, Typing, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
26,Female,Urban,Graduate,Yes,2,Retail,"Sales, Leadership, Inventory Management, Communication",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
48,Male,Rural,Primary,Yes,1,Retail,"Sales, Communication, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
21,Male,Semi-Urban,Graduate,Yes,10,Services,"Communication, Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
43,Male,Semi-Urban,Secondary,Yes,1,Services,"Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
33,Female,Rural,Secondary,Yes,5,Retail,"Sales, Communication, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
40,Male,Urban,Graduate,Yes,8,Agriculture,"Livestock Care, Communication, Farming, Basic Math, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
35,Female,Semi-Urban,Secondary,Yes,4,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
20,Male,Rural,Secondary,Yes,5,Administration,"MS Office, Excel, Typing, Communication",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Male,Rural,Secondary,Yes,6,IT,"Typing, CSS, JavaScript",Web Developer,"JavaScript, React, Git",Frontend Development Program
27,Male,Urban,Secondary,No,1,Finance,"Bookkeeping, Typing, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
42,Male,Rural,Secondary,Yes,8,Construction,"Tool Repair, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
39,Female,Urban,Graduate,Yes,9,Finance,"Bookkeeping, Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
20,Male,Semi-Urban,Vocational,Yes,6,Administration,"Communication, Typing, Excel, MS Office",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
51,Male,Rural,Vocational,Yes,6,IT,"Git, Basic Coding, Typing, Basic Python, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
30,Female,Semi-Urban,Vocational,Yes,3,Agriculture,"Livestock Care, Farming, Basic Math",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
47,Female,Rural,Secondary,Yes,3,Retail,"Sales, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
30,Male,Urban,Primary,Yes,8,Services,"MS Office, Typing, Excel, Customer Handling",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
18,Male,Rural,Secondary,Yes,9,Agriculture,"Livestock Care, Farming, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
